Season,fullName,Team,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID,Events,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,nameLast,nameFirst,Pos'n,Age,Qual    Offer,Old    Club,New Club,Years,Guarantee,Term,Option,AAV,Player Agent,Club Owner,Baseball Ops      head / club GM,Details,Age 7/1/21,Age 7/1/22,Age 7/1/23,Age 7/1/24
2018,Justin Turner,LAD,426,0.110328638,0.126760563,0.87037037,0.312328767,0.406103286,0.517808219,0.923911505,0.205479452,3.083620194397904,0.33444816,0.30000001192092896,0,-0.9435351490974426,-0.31022158171981573,77.9921072168006,28.222042117799667,0.3958980025410934,154.2939167109622,Justin Turner,5235,457759,313,89.1378419528754,106.491,18.277513790435304,21,0.06709265,115,0.36741214,0.661870503,0.26198083,0.293929712,0.444089456,0.071942446,0.100719424,6,0.065217391,0,0,0.38977636,0.31629393,0.29392971,0.1086262,0.44089457,0.45047923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10850000,NA,NA,NA,NA,NA,NA,NA,NA
2017,Justin Turner,LAD,543,0.108655616,0.103130755,1.053571428,0.321663019,0.415129151,0.529540481,0.944669632,0.207877462,3.303192362367718,0.325581395,1,0.5,-1.4755151271820068,0.5539429052732885,102.22693121852448,36.051231999416835,0.39956292659876735,150.73835433872154,Justin Turner,5235,457759,409,89.433836073201,107.772,18.452010313275434,31,0.07579462,156,0.38141809,0.656410256,0.208333333,0.31372549,0.477941176,0.03076923,0.107692307,5,0.0390625,0,0,0.36674817,0.38875306,0.24449878,0.09779951,0.51344743,0.38875306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10850000,NA,NA,NA,NA,NA,NA,NA,NA
2016,Justin Turner,LAD,622,0.077170418,0.172025723,0.44859813,0.275179856,0.339228295,0.492805755,0.83203405,0.217625899,3.825564774855358,0.293023255,-0.10000000149011612,0.20000000298023224,-1.5616402626037598,0.06266979919746518,91.15346171096604,17.879068912423065,0.35295509332236075,123.27971435552529,Justin Turner,5235,457759,457,90.54776317604856,109.158,17.033238695157284,37,0.0809628,187,0.40919037,0.901639344,0.238512035,0.361050328,0.400437636,0.06557377,0.147540983,7,0.042424242,0,0,0.35229759,0.33479212,0.31291028,0.12035011,0.50328228,0.37636761,Turner,Justin,3b,32,rejected,LAN,LAN,4,64000000,2017-20,NA,16000000,Legacy Agency,Mark Walter,Friedman / Zaidi,NA,NA,NA,NA,NA
2015,Justin Turner,LAD,439,0.082004555,0.161731207,0.507042253,0.293506493,0.369863013,0.49090909,0.860772103,0.197402597,3.59331183620279,0.321192052,0.30000001192092896,-0.30000001192092896,NA,-0.01557513047009706,69.79974292492851,20.43862981623396,0.3714754787407969,140.79050061731152,Justin Turner,5235,457759,319,89.51097618809904,107.582,14.117625861122203,18,0.05642633,121,0.37931034,1,0.276729559,0.36163522,0.36163522,0.078260869,0.139130434,4,0.034782608,0,0,0.36990596,0.37931034,0.2507837,0.11598746,0.56112853,0.32288401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16000000,NA,NA,NA,NA,NA,NA,NA,NA
2021,Justin Upton,LAA,362,0.107734806,0.29558011,0.364485981,0.210691823,0.296398891,0.408805031,0.705203922,0.198113208,3.5414463605236883,0.253807106,1.2000000774860382,-0.4000000059604645,0.23110778629779816,0.11372014554217458,41.005968474757104,-2.8162272488957347,0.3050236974396534,90.68392848550351,Justin Upton,5222,457708,215,90.13508184523808,116.541,15.560558500744047,25,0.11627907,88,0.40930233,0.978494623,0.140186915,0.425233644,0.434579439,0.118279569,0.182795698,9,0.098901098,0,0,0.45327103,0.3411215,0.20560748,0.1682243,0.47196262,0.35981308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,Justin Upton,LAA,613,0.104404567,0.287112561,0.363636363,0.257035647,0.344208809,0.463414634,0.807623443,0.206378987,3.8441715197763417,0.321321321,-0.29999999701976776,-0.20000000298023224,-1.3356918096542358,0.39259704179130495,88.2908534524103,16.673365410890185,0.34803082418987175,121.07891627619264,Justin Upton,5222,457708,363,90.7491391184573,114.893,11.85137905732044,49,0.13498623,172,0.4738292,1.184615384,0.217630853,0.424242424,0.358126721,0.092307692,0.23076923,19,0.123376623,0,0,0.46556474,0.32506887,0.20936639,0.16804408,0.39393939,0.43801653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017,Justin Upton,- - -,635,0.116535433,0.283464566,0.411111111,0.272890484,0.360629921,0.540394973,0.901024894,0.267504489,4.037763247403049,0.341107871,2.399999976158142,1.399999976158142,2.832053482532501,0.31249116314575076,107.97450560917946,30.58671738793942,0.37797256247906746,137.33397177384882,Justin Upton,5222,457708,378,88.76912564070767,114.191,15.734206103773976,46,0.12169312,157,0.41534392,0.842424242,0.195767195,0.367724867,0.436507936,0.09090909,0.212121212,6,0.043165467,0,0,0.38624339,0.35714286,0.25661376,0.1984127,0.39153439,0.41005291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016,Justin Upton,DET,626,0.079872204,0.285942492,0.279329608,0.245614035,0.309904153,0.46491228,0.774816433,0.219298245,4.211356905260893,0.301104972,1.5,0,1.0196796655654907,-0.13062385050579906,79.4865287325131,5.740917973850872,0.329234039228571,105.46872899596497,Justin Upton,5222,457708,393,91.33176219706633,114.35,15.56522914341518,48,0.1221374,179,0.45547074,0.899408284,0.183206106,0.386768447,0.430025445,0.112426035,0.183431952,4,0.026315789,0,0,0.39185751,0.36386768,0.24427481,0.21119593,0.40966921,0.37913486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,Justin Upton,SDP,620,0.109677419,0.256451612,0.427672955,0.250922509,0.336025848,0.453874538,0.789900386,0.202952029,5.667873359272068,0.303867403,2.5000001192092896,0.8999999761581421,NA,1.549295211210847,82.88295050949462,13.170216734117355,0.3397940828279874,119.34846460628631,Justin Upton,5222,457708,389,89.84042092678101,113.917,16.163198023169524,37,0.09511568,152,0.3907455,0.877192982,0.172680412,0.386597938,0.440721649,0.064327485,0.152046783,15,0.1,0,0,0.3943299,0.35824742,0.24742268,0.15206186,0.49484536,0.35309278,Upton,Justin,of,28,rejected,SDN,DET,6,132750000,2016-21,NA,22125000,Reynolds Sports,Mike Ilitch,Al Avila,NA,NA,NA,NA,NA
2024,Ke'Bryan Hayes,PIT,396,0.058080808,0.189393939,0.306666666,0.232876712,0.282828282,0.290410958,0.57323924,0.057534246,4.4227327662949065,0.279310344,1.2999999523162842,0,-0.17608994245529175,0.6165298223495483,28.96899515234878,-17.35432121313164,0.25572980929024614,59.203489813138845,Ke'Bryan Hayes,18577,663647,294,88.94485766267124,110.429,4.770579054900811,7,0.02380952,126,0.42857143,1.867469879,0.19047619,0.527210884,0.282312925,0.084337349,0.048192771,10,0.064516129,0,0,0.28911565,0.4047619,0.30612245,0.21768707,0.54421769,0.23809524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
